feature,pdp_e,pdp_p,diff,abs_diff
odor_n,0.5360318732913032,0.4066738794804077,-0.12935799381089552,0.12935799381089552
gill-size_b,0.5343503466903791,0.4542231566528868,-0.08012719003749225,0.08012719003749225
gill-size_n,0.46203340024351175,0.5275845354431321,0.06555113519962036,0.06555113519962036
odor_f,0.4685074009603004,0.5330666374504214,0.06455923649012096,0.06455923649012096
gill-color_b,0.4690792104389574,0.5276077133563379,0.05852850291738054,0.05852850291738054
stalk-surface-above-ring_k,0.4694732107338255,0.5132023711926359,0.04372916045881042,0.04372916045881042
odor_y,0.48186098152840806,0.5218137859336793,0.03995280440527127,0.03995280440527127
ring-type_p,0.49738246548287396,0.460337417775605,-0.03704504770726896,0.03704504770726896
stalk-surface-below-ring_k,0.4742783649333308,0.5089647834383652,0.034686418505034344,0.034686418505034344
spore-print-color_h,0.4722989054774075,0.5058981839218453,0.033599278444437775,0.033599278444437775
bruises_f,0.46028183680974777,0.4935605869888647,0.03327875017911691,0.03327875017911691
stalk-color-above-ring_g,0.48510748829843225,0.45513725886111656,-0.0299702294373157,0.0299702294373157
bruises_t,0.4938521229817,0.465821630764304,-0.028030492217396008,0.028030492217396008
stalk-color-below-ring_b,0.48188575921096405,0.5072025576143137,0.025316798403349605,0.025316798403349605
population_a,0.48445781719724285,0.46044480942345184,-0.024013007773791006,0.024013007773791006
stalk-surface-below-ring_s,0.4964120635871716,0.47337570497775805,-0.023036358609413554,0.023036358609413554
ring-type_l,0.47937720835795333,0.4998806795737362,0.020503471215782887,0.020503471215782887
population_v,0.47225408979100764,0.4920946481005952,0.019840558309587586,0.019840558309587586
gill-color_n,0.4854874637395659,0.4667966934145309,-0.018690770325035022,0.018690770325035022
habitat_p,0.48138275358432453,0.49993876487445826,0.018556011290133734,0.018556011290133734
stalk-surface-above-ring_s,0.49527404472848335,0.4769044541183083,-0.01836959061017507,0.01836959061017507
spore-print-color_k,0.4858836033775683,0.4677151029393254,-0.01816850043824292,0.01816850043824292
stalk-color-below-ring_g,0.4847333882989033,0.4666166783353213,-0.018116709963582,0.018116709963582
odor_p,0.4825280889157623,0.500605393422374,0.018077304506611658,0.018077304506611658
odor_s,0.4820260042880723,0.499224967320739,0.017198963032666714,0.017198963032666714
spore-print-color_n,0.4866021536012402,0.4696568193921676,-0.016945334209072627,0.016945334209072627
gill-spacing_w,0.4861000362559964,0.46961390783774726,-0.016486128418249146,0.016486128418249146
gill-color_w,0.48468690291840055,0.46852740303797713,-0.016159499880423422,0.016159499880423422
odor_c,0.482698672441258,0.4980900534145962,0.015391380973338198,0.015391380973338198
odor_a,0.4838617815910873,0.46859606121452513,-0.015265720376562153,0.015265720376562153
population_n,0.48387784398019157,0.4687948059173764,-0.01508303806281519,0.01508303806281519
stalk-color-above-ring_b,0.48230231527651324,0.49717633920392434,0.014874023927411106,0.014874023927411106
stalk-color-below-ring_w,0.4894864194244421,0.4776300875442403,-0.011856331880201798,0.011856331880201798
stalk-root_r,0.4835225857411733,0.4729503318817939,-0.010572253859379377,0.010572253859379377
cap-surface_f,0.48573305757343715,0.4754774700759787,-0.010255587497458474,0.010255587497458474
odor_l,0.48349584130008133,0.4739901997861958,-0.009505641513885554,0.009505641513885554
stalk-color-below-ring_n,0.4826635260429931,0.4921365144036872,0.009472988360694101,0.009472988360694101
gill-spacing_c,0.47649474301276956,0.4847597121563314,0.00826496914356184,0.00826496914356184
ring-number_o,0.47661815739664115,0.4838483188890841,0.0072301614924429325,0.0072301614924429325
stalk-color-above-ring_w,0.48624157292749115,0.4790718989183343,-0.007169674009156857,0.007169674009156857
stalk-color-above-ring_o,0.48345642354905705,0.47629505058582855,-0.007161372963228496,0.007161372963228496
cap-shape_b,0.48363378923804334,0.4767207883473658,-0.006913000890677534,0.006913000890677534
gill-color_h,0.4830584613660379,0.48917665110591974,0.006118189739881819,0.006118189739881819
gill-color_u,0.4837360380034244,0.47791548194359196,-0.005820556059832449,0.005820556059832449
ring-type_f,0.4834343960802685,0.4779547170268101,-0.0054796790534584194,0.0054796790534584194
habitat_w,0.4835984661816108,0.47826875374372513,-0.005329712437885659,0.005329712437885659
ring-number_t,0.48380028022934063,0.47860421109780305,-0.005196069131537584,0.005196069131537584
ring-type_n,0.483260366389969,0.4882522099956664,0.004991843605697377,0.004991843605697377
gill-color_o,0.48334813262008586,0.478407284358547,-0.004940848261538844,0.004940848261538844
veil-color_o,0.4833371079065329,0.47843116965427746,-0.004905938252255437,0.004905938252255437
cap-color_b,0.48310160012129816,0.48781262149139537,0.0047110213700972126,0.0047110213700972126
stalk-root_b,0.4802528726754239,0.48483182442767564,0.004578951752251759,0.004578951752251759
stalk-color-above-ring_e,0.4834009616973179,0.4788811775279734,-0.0045197841693445096,0.0045197841693445096
cap-surface_s,0.4821331505146953,0.4866395504980737,0.0045063999833784285,0.0045063999833784285
spore-print-color_r,0.48323244721754344,0.48750265283577177,0.004270205618228329,0.004270205618228329
spore-print-color_w,0.4790950166547842,0.4829827758859194,0.0038877592311352127,0.0038877592311352127
stalk-shape_e,0.4822400679524896,0.48595154686865283,0.0037114789161632467,0.0037114789161632467
gill-color_r,0.48329524450850103,0.4866547280688714,0.0033594835603703577,0.0033594835603703577
cap-color_w,0.4834458729118875,0.48009716263150853,-0.0033487102803789748,0.0033487102803789748
stalk-root_c,0.4838745117377938,0.4805364499160245,-0.003338061821769267,0.003338061821769267
population_y,0.4830616727690386,0.47977483396279674,-0.003286838806241865,0.003286838806241865
cap-color_p,0.48321649898860297,0.48647891981725705,0.003262420828654078,0.003262420828654078
stalk-color-above-ring_p,0.482538502458983,0.485758972505247,0.0032204700462640234,0.0032204700462640234
gill-color_k,0.48337448299907665,0.480226024750676,-0.003148458248400654,0.003148458248400654
stalk-root_nan,0.48111995652671946,0.47822155792712795,-0.002898398599591512,0.002898398599591512
stalk-color-below-ring_p,0.4825506548940874,0.4852884505216221,0.0027377956275347337,0.0027377956275347337
cap-color_c,0.48334730400098624,0.4809161866972661,-0.002431117303720143,0.002431117303720143
stalk-surface-above-ring_f,0.48381679616682216,0.4814070955272675,-0.002409700639554646,0.002409700639554646
cap-surface_y,0.4825849290168068,0.48482092238855545,0.002235993371748679,0.002235993371748679
stalk-surface-below-ring_y,0.4832753364973703,0.48549564272339524,0.0022203062260249262,0.0022203062260249262
gill-attachment_f,0.4812707021732498,0.4834601918434773,0.002189489670227529,0.002189489670227529
cap-color_r,0.48333958598049087,0.48136131516793357,-0.0019782708125573034,0.0019782708125573034
stalk-shape_t,0.48515093345483273,0.48318565697817856,-0.0019652764766541764,0.0019652764766541764
stalk-color-below-ring_o,0.48338955606121314,0.4815643923244073,-0.001825163736805857,0.001825163736805857
stalk-surface-above-ring_y,0.4833078243834816,0.4850379978452672,0.0017301734617856113,0.0017301734617856113
habitat_d,0.48488491239067516,0.4831716557812425,-0.0017132566094326673,0.0017132566094326673
habitat_u,0.48322652516383924,0.484794209962452,0.0015676847986127451,0.0015676847986127451
habitat_g,0.48438135685921435,0.4828996057622027,-0.001481751097011652,0.001481751097011652
cap-shape_k,0.4832956731314462,0.4847420619099002,0.0014463887784539886,0.0014463887784539886
stalk-surface-below-ring_f,0.48332707083671944,0.48194409304669833,-0.0013829777900211115,0.0013829777900211115
stalk-color-above-ring_n,0.4831302931868459,0.48435324218513615,0.0012229489982902297,0.0012229489982902297
stalk-color-below-ring_y,0.48329955323582274,0.4845213188564022,0.0012217656205794625,0.0012217656205794625
veil-color_w,0.4822570127643512,0.48338398187285875,0.0011269691085075695,0.0011269691085075695
gill-color_p,0.48334741284790744,0.48268506127845545,-0.000662351569451991,0.000662351569451991
habitat_l,0.483385123484817,0.48273850911502914,-0.0006466143697878568,0.0006466143697878568
stalk-root_e,0.4833909048240813,0.48391210042938254,0.0005211956053012279,0.0005211956053012279
population_s,0.4831116041338766,0.48339002412215026,0.0002784199882736593,0.0002784199882736593
stalk-color-below-ring_c,0.48330542011985855,0.483522062168111,0.0002166420482524467,0.0002166420482524467
ring-type_e,0.4805924302602144,0.48038006124431937,-0.00021236901589505308,0.00021236901589505308
cap-color_g,0.48337348060336716,0.48318133119917084,-0.00019214940419631787,0.00019214940419631787
cap-shape_x,0.4834033018886126,0.48321816093509457,-0.00018514095351801485,0.00018514095351801485
cap-shape_f,0.4833899782004589,0.48320964356946844,-0.0001803346309904863,0.0001803346309904863
spore-print-color_u,0.48333583110256767,0.48317161179593804,-0.00016421930662963158,0.00016421930662963158
stalk-color-below-ring_e,0.4833425278764605,0.4831861709214582,-0.0001563569550022681,0.0001563569550022681
spore-print-color_y,0.48332159793515,0.48323367502595715,-8.792290919285017e-05,8.792290919285017e-05
cap-color_e,0.48329740438187674,0.48331796888943296,2.056450755621997e-05,2.056450755621997e-05
population_c,0.48347539120451627,0.4834941575504598,1.8766345943554974e-05,1.8766345943554974e-05
stalk-color-above-ring_y,0.483320191168603,0.483320191168603,0.0,0.0
habitat_m,0.483320191168603,0.483320191168603,0.0,0.0
cap-color_u,0.483320191168603,0.483320191168603,0.0,0.0
cap-shape_s,0.483320191168603,0.483320191168603,0.0,0.0
spore-print-color_o,0.483320191168603,0.483320191168603,0.0,0.0
gill-color_y,0.483320191168603,0.483320191168603,0.0,0.0
cap-color_n,0.483320191168603,0.483320191168603,0.0,0.0
veil-color_n,0.483320191168603,0.483320191168603,0.0,0.0
cap-surface_g,0.483320191168603,0.483320191168603,0.0,0.0
spore-print-color_b,0.483320191168603,0.483320191168603,0.0,0.0
gill-color_g,0.483320191168603,0.483320191168603,0.0,0.0
gill-attachment_a,0.483320191168603,0.483320191168603,0.0,0.0
cap-color_y,0.483320191168603,0.483320191168603,0.0,0.0
stalk-color-above-ring_c,0.483320191168603,0.483320191168603,0.0,0.0
gill-color_e,0.483320191168603,0.483320191168603,0.0,0.0
ring-number_n,0.483320191168603,0.483320191168603,0.0,0.0
veil-color_y,0.483320191168603,0.483320191168603,0.0,0.0
cap-shape_c,0.483320191168603,0.483320191168603,0.0,0.0
odor_m,0.483320191168603,0.483320191168603,0.0,0.0
